id,place_name,type,opening_hour,rating,lat,long,image_path
1,บึงแก่นนคร (เมืองขอนแก่น),สวนสาธารณะ,24 ชั่วโมง,4.5,16.41649543,102.8386899,/images/สถานที่ท่องเที่ยว/1.jpg
2,พิพิธภัณฑสถานแห่งชาติ ขอนแก่น,พิพิธภัณฑ์,09:00-16:00,4.2,16.44940608,102.839102,/images/สถานที่ท่องเที่ยว/2.jpg
3,พระมหาธาตุแก่นนคร,วัด,07:00-17:00,4.7,16.41016962,102.8335379,/images/สถานที่ท่องเที่ยว/3.jpg
4,วัดทุ่งเศรษฐี,วัด,07:00-17:00,4.6,16.41448782,102.8905464,/images/สถานที่ท่องเที่ยว/4.jpg
5,โฮงมูนมังเมืองขอนแก่น,พิพิธภัณฑ์,09:00-17:00,4.1,16.42229627,102.8441944,/images/สถานที่ท่องเที่ยว/5.jpg
6,ไดโนวอเตอร์พาร์ค,สวนน้ำ,10:00-18:00,3.9,16.40381824,102.8168612,/images/สถานที่ท่องเที่ยว/6.jpg
7,สวนสาธารณะบึงแก่นนคร,สวนสาธารณะ,24 ชั่วโมง,4.4,16.42297409,102.83593,/images/สถานที่ท่องเที่ยว/7.jpg
8,วัดป่าธรรมอุทยาน,วัด,05:00-20:00,4.6,16.54211016,102.8402894,/images/สถานที่ท่องเที่ยว/8.jpg
9,สวนสุขภาพบึงทุ่งสร้าง,สวนสาธารณะ,07:00-18:00,4.5,16.44827189,102.8534088,/images/สถานที่ท่องเที่ยว/9.jpg
10,สวนนันทนา ขอนแก่น,สถานที่สักการะบูชา,07:00-18:00,4.7,16.5221988,102.8580232,/images/สถานที่ท่องเที่ยว/10.jpg
11,เทวสถาน พระแม่ธรณี,สถานที่สักการะบูชา,24 ชั่วโมง,4.4,16.43410279,102.8370355,/images/สถานที่ท่องเที่ยว/11.jpg
12,สวนสาธารณะขอนแก่น 200 ปี,สวนสาธารณะ,24 ชั่วโมง,4.5,16.42075357,102.8386112,/images/สถานที่ท่องเที่ยว/12.jpg
13,KK Falabella Horse,คาเฟ่,10:00-20:00,4.4,16.37217928,102.8328596,/images/สถานที่ท่องเที่ยว/13.jpg
14,สวนมิตรภาพขอนแก่น- หนานหนิง,สถานที่สักการะบูชา,08:00-18:00,4.3,16.41901337,102.8400198,/images/สถานที่ท่องเที่ยว/14.jpg
15,เที่ยวขอนแก่น Khonkaen Exotic Pets สนามบินขอนแก่น,สวนสัตว์,10:00-18:00,4.2,16.46109764,102.7931393,/images/สถานที่ท่องเที่ยว/15.jpg
16,KhonKaen Art Wall,สวนสาธารณะ,24 ชั่วโมง,4.2,16.42556976,102.8318265,/images/สถานที่ท่องเที่ยว/16.jpg
17,สะพานข้าวนาบุญ วัดป่าพุทธญาณรังษี,วัด,06:00-18:00,4.7,16.42191991,102.9024214,/images/สถานที่ท่องเที่ยว/17.jpg
18,เทวาลัยศิวะมหาเทพ ขอนแก่น,สถานที่สักการะบูชา,07:30-18:00,4.4,16.46432841,102.8883194,/images/สถานที่ท่องเที่ยว/18.jpg
19,นโมฟาร์ม,คาเฟ่,8:30-18:30,5,16.44264248,102.8701089,/images/สถานที่ท่องเที่ยว/19.jpg
20,อนุสาวรีย์จอมพลสฤษดิ์ ธนะรัชต์,อนุสรณ์สถาน,24 ชั่วโมง,4,16.43918204,102.8355198,/images/สถานที่ท่องเที่ยว/20.jpg
21,บึงหนองโคตร,สวนสาธารณะ,24 ชั่วโมง,4.7,16.43525861,102.8025579,/images/สถานที่ท่องเที่ยว/21.jpg
22,จุดชมวิวหินช้างสี,อุทยานแห่งชาติ,08:30-16:30,4.5,16.6502573,102.571247,/images/สถานที่ท่องเที่ยว/22.jpg
23,อุทยานแห่งชาติน้ำพอง,อุทยานแห่งชาติ,08:30-16:30,4.5,16.6611822,102.6091097,/images/สถานที่ท่องเที่ยว/23.jpg
24,อุทยานแห่งชาติภูเวียง,อุทยานแห่งชาติ,08:30-16:30,4.5,16.68832821,102.2380881,/images/สถานที่ท่องเที่ยว/24.jpg
25,อุทยานเทคโนโลยีการเกษตร มหาวิทยาลัยขอนแก่น,อุทยานแห่งชาติ,08:30-19:00,4.7,16.46571692,102.8132349,/images/สถานที่ท่องเที่ยว/25.jpg
26,สวนกาญจนาภิเษกริมบึงแก่นนคร .อ.เมือง จ.ขอนแก่น,อุทยานแห่งชาติ,06:00-19:00,4.3,16.41502242,102.8408376,/images/สถานที่ท่องเที่ยว/26.jpg
27,อุทยานแห่งชาติภูผาม่าน,อุทยานแห่งชาติ,06:00-17:00,4.5,16.75694498,101.9686638,/images/สถานที่ท่องเที่ยว/27.jpg
28,วนอุทยานน้ำตกบ๋าหลวง,อุทยานแห่งชาติ,08:30-16:30,4.4,16.8903649,103.0867746,/images/สถานที่ท่องเที่ยว/28.jpg
